n_cities,algorithm,best_distance,distance_per_city
174,BaselineAS,36914.13343061,212.15019213
174,ElitistAS,35963.96502373,206.68945416
174,MaxMinAS,35862.35167261,206.10546938
175,BlindBlendAS,35184.96577767,201.05694730
175,BaselineAS,37003.44675163,211.44826715
175,ElitistAS,37093.55582645,211.96317615
175,MaxMinAS,35286.41129396,201.63663597
176,BlindBlendAS,35364.64550840,200.93548584
176,BaselineAS,37609.62644376,213.69105934
176,ElitistAS,36862.43540754,209.44565572
176,MaxMinAS,36087.47277268,205.04245894
177,BlindBlendAS,38045.42966499,214.94593031
177,BaselineAS,40102.63853613,226.56857930
177,ElitistAS,39964.85243256,225.79012674
177,MaxMinAS,38178.09558932,215.69545531
178,BlindBlendAS,36161.88132750,203.15663667
178,BaselineAS,38785.85628290,217.89806901
178,ElitistAS,38050.84090826,213.76876915
178,MaxMinAS,36939.29540257,207.52413148
179,BlindBlendAS,37242.39300601,208.05806149
179,BaselineAS,39293.38934742,219.51614161
179,ElitistAS,38786.67548228,216.68533789
179,MaxMinAS,37123.46470991,207.39365760
180,BlindBlendAS,36157.26581864,200.87369899
180,BaselineAS,38395.56570681,213.30869837
180,ElitistAS,38081.02964460,211.56127580
180,MaxMinAS,36356.51033647,201.98061298
181,BlindBlendAS,36641.52326842,202.43935507
181,BaselineAS,37990.12060237,209.89016907
181,ElitistAS,38554.17341377,213.00648295
181,MaxMinAS,36950.87049248,204.14845576
182,BlindBlendAS,38639.59831076,212.30548522
182,BaselineAS,40260.69066858,221.21258609
182,ElitistAS,39496.95772373,217.01625123
182,MaxMinAS,38409.97835907,211.04383714
183,BlindBlendAS,38179.43800665,208.63080878
183,BaselineAS,39738.12563856,217.14822753
183,ElitistAS,39709.76957490,216.99327637
183,MaxMinAS,38851.02924508,212.30070626
184,BlindBlendAS,38732.51878020,210.50281946
184,BaselineAS,40229.18225995,218.63686011
184,ElitistAS,40750.86128457,221.47207220
184,MaxMinAS,38989.66927266,211.90037648
185,BlindBlendAS,39383.13535939,212.88181275
185,BaselineAS,41521.68773613,224.44155533
185,ElitistAS,41096.13910829,222.14129248
185,MaxMinAS,39670.21421059,214.43359033
186,BlindBlendAS,38598.29544196,207.51771743
186,BaselineAS,40473.32328607,217.59851229
186,ElitistAS,40221.37526964,216.24395306
186,MaxMinAS,38689.65305627,208.00888740
187,BlindBlendAS,39142.57816290,209.31859980
187,BaselineAS,41248.12213586,220.57819324
187,ElitistAS,41049.28858474,219.51491222
187,MaxMinAS,39561.89438237,211.56093253
188,BlindBlendAS,40446.41989031,215.14053133
188,BaselineAS,42342.30226157,225.22501203
188,ElitistAS,42528.25277777,226.21411052
188,MaxMinAS,40504.46865980,215.44930138
189,BlindBlendAS,40757.49917405,215.64814378
189,BaselineAS,43581.18725574,230.58829236
189,ElitistAS,43096.93647941,228.02611894
189,MaxMinAS,41384.39021853,218.96502761
190,BlindBlendAS,41689.11907151,219.41641617
190,BaselineAS,43377.06155843,228.30032399
190,ElitistAS,42794.10491064,225.23213111
190,MaxMinAS,41279.98460309,217.26307686
191,BlindBlendAS,41495.91702351,217.25611007
191,BaselineAS,43661.96057643,228.59665223
191,ElitistAS,43982.85584263,230.27673216
191,MaxMinAS,41916.66002235,219.45895300
192,BlindBlendAS,40298.27572946,209.88685276
192,BaselineAS,42326.68531787,220.45148603
192,ElitistAS,42880.04058768,223.33354473
192,MaxMinAS,40339.41393741,210.10111426
193,BlindBlendAS,40767.95891480,211.23294775
193,BaselineAS,43618.07911622,226.00040993
193,ElitistAS,43625.89380979,226.04090057
193,MaxMinAS,41974.33221944,217.48358663
194,BlindBlendAS,41796.16849867,215.44416752
194,BaselineAS,43212.21405590,222.74337142
194,ElitistAS,44140.52653665,227.52848730
194,MaxMinAS,42408.63237520,218.60119781
195,BlindBlendAS,40963.91858112,210.07137734
195,BaselineAS,43097.60177791,221.01334245
195,ElitistAS,42493.10652814,217.91336681
195,MaxMinAS,41166.92331840,211.11242727
196,BlindBlendAS,41457.56259219,211.51817649
196,BaselineAS,44505.73864463,227.07009513
196,ElitistAS,44653.80250224,227.82552297
196,MaxMinAS,43120.22614995,220.00115383
197,BlindBlendAS,41293.49359966,209.61164264
197,BaselineAS,43750.83007803,222.08543187
197,ElitistAS,42972.80200064,218.13605076
197,MaxMinAS,42321.27330777,214.82879852
198,BlindBlendAS,41587.77056516,210.03924528
198,BaselineAS,43228.35260222,218.32501314
198,ElitistAS,43281.94319997,218.59567273
198,MaxMinAS,41353.63409044,208.85673783
199,BlindBlendAS,43655.86211480,219.37619153
199,BaselineAS,46402.50532890,233.17841874
199,ElitistAS,46268.46805616,232.50486460
199,MaxMinAS,43828.58147297,220.24412800
200,BlindBlendAS,43277.91101013,216.38955505
200,BaselineAS,45047.67416945,225.23837085
200,ElitistAS,44294.82496209,221.47412481
200,MaxMinAS,43764.16109741,218.82080549
