schedule,start_evaporation,end_evaporation,curve,seed_index,python_seed,city_seed,best_distance,blind_rounds,final_pheromone_min,final_pheromone_max,final_pheromone_mean
logarithmic,0.80000000,0.20000000,-9.00000000,5,53,53,7553.57924941,0,0.00661938,0.57611979,0.02590902
logarithmic,0.80000000,0.20000000,-9.00000000,6,54,54,7494.60579549,6,0.00667146,0.60039425,0.02609140
logarithmic,0.80000000,0.20000000,-9.00000000,7,55,55,7892.74863381,3,0.00633493,0.55011256,0.02469085
logarithmic,0.80000000,0.20000000,-9.00000000,8,56,56,8287.95840404,6,0.00603285,0.52512780,0.02362482
logarithmic,0.80000000,0.20000000,-9.00000000,9,57,57,7693.90888113,0,0.00649865,0.56569056,0.02545362
logarithmic,0.80000000,0.20000000,-3.00000000,0,48,48,6954.85093229,6,0.00718923,0.67476567,0.02956756
logarithmic,0.80000000,0.20000000,-3.00000000,1,49,49,7611.05045656,6,0.00656940,0.70223604,0.03015104
logarithmic,0.80000000,0.20000000,-3.00000000,2,50,50,8102.30007420,3,0.00617109,0.57870169,0.02556658
logarithmic,0.80000000,0.20000000,-3.00000000,3,51,51,7556.46569954,6,0.00661685,0.62913015,0.02700619
logarithmic,0.80000000,0.20000000,-3.00000000,4,52,52,6832.91087139,6,0.00731753,0.76898829,0.03300165
logarithmic,0.80000000,0.20000000,-3.00000000,5,53,53,7553.57924941,0,0.00661938,0.62075058,0.02742638
logarithmic,0.80000000,0.20000000,-3.00000000,6,54,54,7494.60579549,6,0.00667146,0.61633391,0.02674160
logarithmic,0.80000000,0.20000000,-3.00000000,7,55,55,7888.93530849,0,0.00633799,0.59443916,0.02626801
logarithmic,0.80000000,0.20000000,-3.00000000,8,56,56,8262.25592702,9,0.00605162,0.56461945,0.02439201
logarithmic,0.80000000,0.20000000,-3.00000000,9,57,57,7716.48742498,6,0.00647963,0.60622058,0.02622035
logarithmic,0.80000000,0.20000000,-1.00000000,0,48,48,6954.85093229,6,0.00718923,0.70585284,0.03052106
logarithmic,0.80000000,0.20000000,-1.00000000,1,49,49,7668.55806340,9,0.00652013,0.63948495,0.02779990
logarithmic,0.80000000,0.20000000,-1.00000000,2,50,50,8115.01912196,6,0.00616141,0.61836097,0.02619084
logarithmic,0.80000000,0.20000000,-1.00000000,3,51,51,7556.46569954,9,0.00661685,0.65325589,0.02796741
logarithmic,0.80000000,0.20000000,-1.00000000,4,52,52,6864.81336599,3,0.00728352,0.79530326,0.03399565
logarithmic,0.80000000,0.20000000,-1.00000000,5,53,53,7553.57924941,0,0.00661938,0.65111875,0.02845585
logarithmic,0.80000000,0.20000000,-1.00000000,6,54,54,7507.41944046,6,0.00666008,0.65197742,0.02782648
logarithmic,0.80000000,0.20000000,-1.00000000,7,55,55,7992.80268504,9,0.00625563,0.68004948,0.02898514
logarithmic,0.80000000,0.20000000,-1.00000000,8,56,56,8262.25592702,3,0.00605162,0.57898815,0.02518548
logarithmic,0.80000000,0.20000000,-1.00000000,9,57,57,7685.45940891,0,0.00650579,0.64002544,0.02797378
logarithmic,0.80000000,0.20000000,1.00000000,0,48,48,6954.85093229,9,0.00718923,0.80976392,0.03423862
logarithmic,0.80000000,0.20000000,1.00000000,1,49,49,7611.05045656,3,0.00656940,0.69480587,0.02952390
logarithmic,0.80000000,0.20000000,1.00000000,2,50,50,8009.03918137,6,0.00624295,0.65364407,0.02799880
logarithmic,0.80000000,0.20000000,1.00000000,3,51,51,7556.46569954,3,0.00661685,0.69827100,0.02951430
logarithmic,0.80000000,0.20000000,1.00000000,4,52,52,6884.95897719,0,0.00726221,0.76649391,0.03299008
logarithmic,0.80000000,0.20000000,1.00000000,5,53,53,7521.14560496,6,0.00664792,0.69740875,0.02945915
logarithmic,0.80000000,0.20000000,1.00000000,6,54,54,7507.41944046,9,0.00666008,0.70716794,0.02972795
logarithmic,0.80000000,0.20000000,1.00000000,7,55,55,7855.49282488,3,0.00636497,0.66206468,0.02785845
logarithmic,0.80000000,0.20000000,1.00000000,8,56,56,8262.25592702,6,0.00605162,0.63411320,0.02697604
logarithmic,0.80000000,0.20000000,1.00000000,9,57,57,7728.43303975,9,0.00646962,0.72610581,0.03070463
logarithmic,0.80000000,0.20000000,3.00000000,0,48,48,6954.85093229,3,0.00718923,0.77707708,0.03327829
logarithmic,0.80000000,0.20000000,3.00000000,1,49,49,7611.05045656,3,0.00656940,0.70890300,0.03009137
logarithmic,0.80000000,0.20000000,3.00000000,2,50,50,8102.30007420,3,0.00617109,0.66418661,0.02798917
