n_cities,algorithm,best_distance,distance_per_city
189,ElitistAS,68513.73049302,274.05492197
189,MaxMinAS,64426.27372095,257.70509488
190,BlindBlendAS,62669.58816013,250.67835264
190,BaselineAS,66826.78809074,267.30715236
190,ElitistAS,66334.95984264,265.33983937
190,MaxMinAS,63756.28290941,255.02513164
191,BlindBlendAS,63009.21966574,252.03687866
191,BaselineAS,67870.37023088,271.48148092
191,ElitistAS,67625.32795062,270.50131180
191,MaxMinAS,65058.69378014,260.23477512
192,BlindBlendAS,62319.58454955,249.27833820
192,BaselineAS,67358.54698162,269.43418793
192,ElitistAS,64953.49672803,259.81398691
192,MaxMinAS,65539.34791494,262.15739166
193,BlindBlendAS,63206.24226535,252.82496906
193,BaselineAS,66898.84450830,267.59537803
193,ElitistAS,66469.00272896,265.87601092
193,MaxMinAS,63435.69871817,253.74279487
194,BlindBlendAS,63116.75989602,252.46703958
194,BaselineAS,66585.43259490,266.34173038
194,ElitistAS,67272.64739426,269.09058958
194,MaxMinAS,63588.23492382,254.35293970
195,BlindBlendAS,62836.45693408,251.34582774
195,BaselineAS,66897.25856168,267.58903425
195,ElitistAS,67514.55328874,270.05821315
195,MaxMinAS,65147.43033083,260.58972132
196,BlindBlendAS,62410.26747758,249.64106991
196,BaselineAS,65825.10714983,263.30042860
196,ElitistAS,67122.30814438,268.48923258
196,MaxMinAS,64539.23419054,258.15693676
197,BlindBlendAS,61890.67236937,247.56268948
197,BaselineAS,65259.02210799,261.03608843
197,ElitistAS,65590.23364982,262.36093460
197,MaxMinAS,64601.74130464,258.40696522
198,BlindBlendAS,60458.26047116,241.83304188
198,BaselineAS,62192.94049928,248.77176200
198,ElitistAS,63744.55908451,254.97823634
198,MaxMinAS,62883.19302478,251.53277210
199,BlindBlendAS,62678.23286604,250.71293146
199,BaselineAS,67832.42550573,271.32970202
199,ElitistAS,68953.37018414,275.81348074
199,MaxMinAS,66822.73697364,267.29094789
200,BlindBlendAS,63465.11205149,253.86044821
200,BaselineAS,65305.77102215,261.22308409
200,ElitistAS,64185.42906626,256.74171627
200,MaxMinAS,66519.77982805,266.07911931
