n_cities,algorithm,best_distance,distance_per_city
175,MaxMinAS,44415.41869394,222.07709347
176,BlindBlendAS,44920.16911413,224.60084557
176,BaselineAS,46847.28812277,234.23644061
176,ElitistAS,46017.63803047,230.08819015
176,MaxMinAS,45407.08291177,227.03541456
177,BlindBlendAS,46808.01141116,234.04005706
177,BaselineAS,48091.76220275,240.45881101
177,ElitistAS,49987.38005363,249.93690027
177,MaxMinAS,47573.20003136,237.86600016
178,BlindBlendAS,45029.73540996,225.14867705
178,BaselineAS,47269.51172783,236.34755864
178,ElitistAS,46851.86608607,234.25933043
178,MaxMinAS,45936.06858967,229.68034295
179,BlindBlendAS,45441.17256541,227.20586283
179,BaselineAS,47944.69840132,239.72349201
179,ElitistAS,47659.54855783,238.29774279
179,MaxMinAS,45200.55266460,226.00276332
180,BlindBlendAS,42170.39550035,210.85197750
180,BaselineAS,45749.77632978,228.74888165
180,ElitistAS,45577.60442811,227.88802214
180,MaxMinAS,43418.84674140,217.09423371
181,BlindBlendAS,44851.68231117,224.25841156
181,BaselineAS,46100.95388470,230.50476942
181,ElitistAS,45506.83585903,227.53417930
181,MaxMinAS,44524.35087639,222.62175438
182,BlindBlendAS,45409.62791148,227.04813956
182,BaselineAS,47516.52771299,237.58263856
182,ElitistAS,46941.94679678,234.70973398
182,MaxMinAS,45526.94573808,227.63472869
183,BlindBlendAS,44972.95315726,224.86476579
183,BaselineAS,46565.83917165,232.82919586
183,ElitistAS,45809.21182556,229.04605913
183,MaxMinAS,45350.75894394,226.75379472
184,BlindBlendAS,44154.23979052,220.77119895
184,BaselineAS,47177.26244645,235.88631223
184,ElitistAS,47397.27387742,236.98636939
184,MaxMinAS,45251.17625010,226.25588125
185,BlindBlendAS,45334.76897500,226.67384488
185,BaselineAS,49186.33232937,245.93166165
185,ElitistAS,46756.77452326,233.78387262
185,MaxMinAS,46111.18588215,230.55592941
186,BlindBlendAS,44226.28732039,221.13143660
186,BaselineAS,45937.67335001,229.68836675
186,ElitistAS,46171.35778077,230.85678890
186,MaxMinAS,44568.27196400,222.84135982
187,BlindBlendAS,44908.65148336,224.54325742
187,BaselineAS,47791.96074506,238.95980373
187,ElitistAS,48110.65889677,240.55329448
187,MaxMinAS,43992.21637285,219.96108186
188,BlindBlendAS,44087.59875421,220.43799377
188,BaselineAS,48320.92229415,241.60461147
188,ElitistAS,48177.61122434,240.88805612
188,MaxMinAS,45907.97316631,229.53986583
