schedule,start_evaporation,end_evaporation,curve,iteration,evaporation
exponential,0.90000000,0.20000000,2.00000000,28,0.66600607
exponential,0.90000000,0.20000000,2.00000000,29,0.65169326
exponential,0.90000000,0.20000000,2.00000000,30,0.63678416
exponential,0.90000000,0.20000000,2.00000000,31,0.62125393
exponential,0.90000000,0.20000000,2.00000000,32,0.60507671
exponential,0.90000000,0.20000000,2.00000000,33,0.58822553
exponential,0.90000000,0.20000000,2.00000000,34,0.57067231
exponential,0.90000000,0.20000000,2.00000000,35,0.55238782
exponential,0.90000000,0.20000000,2.00000000,36,0.53334158
exponential,0.90000000,0.20000000,2.00000000,37,0.51350186
exponential,0.90000000,0.20000000,2.00000000,38,0.49283560
exponential,0.90000000,0.20000000,2.00000000,39,0.47130837
exponential,0.90000000,0.20000000,2.00000000,40,0.44888430
exponential,0.90000000,0.20000000,2.00000000,41,0.42552603
exponential,0.90000000,0.20000000,2.00000000,42,0.40119463
exponential,0.90000000,0.20000000,2.00000000,43,0.37584956
exponential,0.90000000,0.20000000,2.00000000,44,0.34944861
exponential,0.90000000,0.20000000,2.00000000,45,0.32194776
exponential,0.90000000,0.20000000,2.00000000,46,0.29330122
exponential,0.90000000,0.20000000,2.00000000,47,0.26346123
exponential,0.90000000,0.20000000,2.00000000,48,0.23237809
exponential,0.90000000,0.20000000,2.00000000,49,0.20000000
exponential,0.90000000,0.20000000,4.00000000,0,0.90000000
exponential,0.90000000,0.20000000,4.00000000,1,0.89888914
exponential,0.90000000,0.20000000,4.00000000,2,0.89768379
exponential,0.90000000,0.20000000,4.00000000,3,0.89637593
exponential,0.90000000,0.20000000,4.00000000,4,0.89495681
exponential,0.90000000,0.20000000,4.00000000,5,0.89341699
exponential,0.90000000,0.20000000,4.00000000,6,0.89174620
exponential,0.90000000,0.20000000,4.00000000,7,0.88993330
exponential,0.90000000,0.20000000,4.00000000,8,0.88796620
exponential,0.90000000,0.20000000,4.00000000,9,0.88583178
exponential,0.90000000,0.20000000,4.00000000,10,0.88351581
exponential,0.90000000,0.20000000,4.00000000,11,0.88100285
exponential,0.90000000,0.20000000,4.00000000,12,0.87827615
exponential,0.90000000,0.20000000,4.00000000,13,0.87531752
exponential,0.90000000,0.20000000,4.00000000,14,0.87210724
exponential,0.90000000,0.20000000,4.00000000,15,0.86862390
exponential,0.90000000,0.20000000,4.00000000,16,0.86484428
exponential,0.90000000,0.20000000,4.00000000,17,0.86074318
exponential,0.90000000,0.20000000,4.00000000,18,0.85629325
exponential,0.90000000,0.20000000,4.00000000,19,0.85146481
exponential,0.90000000,0.20000000,4.00000000,20,0.84622569
exponential,0.90000000,0.20000000,4.00000000,21,0.84054094
exponential,0.90000000,0.20000000,4.00000000,22,0.83437267
exponential,0.90000000,0.20000000,4.00000000,23,0.82767973
exponential,0.90000000,0.20000000,4.00000000,24,0.82041752
exponential,0.90000000,0.20000000,4.00000000,25,0.81253760
exponential,0.90000000,0.20000000,4.00000000,26,0.80398744
exponential,0.90000000,0.20000000,4.00000000,27,0.79471002
exponential,0.90000000,0.20000000,4.00000000,28,0.78464350
exponential,0.90000000,0.20000000,4.00000000,29,0.77372075
exponential,0.90000000,0.20000000,4.00000000,30,0.76186894
exponential,0.90000000,0.20000000,4.00000000,31,0.74900904
exponential,0.90000000,0.20000000,4.00000000,32,0.73505532
exponential,0.90000000,0.20000000,4.00000000,33,0.71991474
exponential,0.90000000,0.20000000,4.00000000,34,0.70348634
exponential,0.90000000,0.20000000,4.00000000,35,0.68566059
exponential,0.90000000,0.20000000,4.00000000,36,0.66631864
exponential,0.90000000,0.20000000,4.00000000,37,0.64533151
exponential,0.90000000,0.20000000,4.00000000,38,0.62255927
exponential,0.90000000,0.20000000,4.00000000,39,0.59785010
exponential,0.90000000,0.20000000,4.00000000,40,0.57103923
exponential,0.90000000,0.20000000,4.00000000,41,0.54194791
exponential,0.90000000,0.20000000,4.00000000,42,0.51038216
exponential,0.90000000,0.20000000,4.00000000,43,0.47613152
exponential,0.90000000,0.20000000,4.00000000,44,0.43896762
exponential,0.90000000,0.20000000,4.00000000,45,0.39864266
exponential,0.90000000,0.20000000,4.00000000,46,0.35488778
exponential,0.90000000,0.20000000,4.00000000,47,0.30741123
exponential,0.90000000,0.20000000,4.00000000,48,0.25589647
exponential,0.90000000,0.20000000,4.00000000,49,0.20000000
logarithmic,0.90000000,0.20000000,-9.00000000,0,0.90000000
logarithmic,0.90000000,0.20000000,-9.00000000,1,0.89436430
logarithmic,0.90000000,0.20000000,-9.00000000,2,0.88862214
logarithmic,0.90000000,0.20000000,-9.00000000,3,0.88276944
logarithmic,0.90000000,0.20000000,-9.00000000,4,0.87680184
logarithmic,0.90000000,0.20000000,-9.00000000,5,0.87071475
logarithmic,0.90000000,0.20000000,-9.00000000,6,0.86450329
logarithmic,0.90000000,0.20000000,-9.00000000,7,0.85816226
logarithmic,0.90000000,0.20000000,-9.00000000,8,0.85168614
logarithmic,0.90000000,0.20000000,-9.00000000,9,0.84506906
logarithmic,0.90000000,0.20000000,-9.00000000,10,0.83830474
logarithmic,0.90000000,0.20000000,-9.00000000,11,0.83138647
logarithmic,0.90000000,0.20000000,-9.00000000,12,0.82430710
logarithmic,0.90000000,0.20000000,-9.00000000,13,0.81705893
logarithmic,0.90000000,0.20000000,-9.00000000,14,0.80963371
logarithmic,0.90000000,0.20000000,-9.00000000,15,0.80202259
logarithmic,0.90000000,0.20000000,-9.00000000,16,0.79421601
logarithmic,0.90000000,0.20000000,-9.00000000,17,0.78620367
logarithmic,0.90000000,0.20000000,-9.00000000,18,0.77797443
logarithmic,0.90000000,0.20000000,-9.00000000,19,0.76951622
logarithmic,0.90000000,0.20000000,-9.00000000,20,0.76081593
logarithmic,0.90000000,0.20000000,-9.00000000,21,0.75185929
logarithmic,0.90000000,0.20000000,-9.00000000,22,0.74263074
logarithmic,0.90000000,0.20000000,-9.00000000,23,0.73311325
logarithmic,0.90000000,0.20000000,-9.00000000,24,0.72328814
logarithmic,0.90000000,0.20000000,-9.00000000,25,0.71313486
logarithmic,0.90000000,0.20000000,-9.00000000,26,0.70263072
logarithmic,0.90000000,0.20000000,-9.00000000,27,0.69175061
logarithmic,0.90000000,0.20000000,-9.00000000,28,0.68046661
logarithmic,0.90000000,0.20000000,-9.00000000,29,0.66874758
logarithmic,0.90000000,0.20000000,-9.00000000,30,0.65655862
logarithmic,0.90000000,0.20000000,-9.00000000,31,0.64386046
logarithmic,0.90000000,0.20000000,-9.00000000,32,0.63060870
logarithmic,0.90000000,0.20000000,-9.00000000,33,0.61675286
