parameter,value,seed_index,python_seed,city_seed,best_distance,blind_rounds
blind_iterations,3,11,54,58,15917.51654648,9
blind_iterations,3,12,55,59,15203.24271883,12
blind_iterations,3,13,56,60,15662.03719002,12
blind_iterations,3,14,57,61,15134.61269338,18
blind_iterations,3,15,58,62,15235.69883181,12
blind_iterations,3,16,59,63,15328.91639337,15
blind_iterations,3,17,60,64,15401.91143685,12
blind_iterations,3,18,61,65,15331.49117102,15
blind_iterations,3,19,62,66,15023.35550177,18
blind_iterations,5,0,43,47,14561.13362450,30
blind_iterations,5,1,44,48,15366.09087125,10
blind_iterations,5,2,45,49,15807.49198582,25
blind_iterations,5,3,46,50,16647.84189969,10
blind_iterations,5,4,47,51,16124.17915505,15
blind_iterations,5,5,48,52,14831.10255567,10
blind_iterations,5,6,49,53,15949.93711454,25
blind_iterations,5,7,50,54,15784.03969516,20
blind_iterations,5,8,51,55,16283.40169944,20
blind_iterations,5,9,52,56,15746.60528987,30
blind_iterations,5,10,53,57,15501.27674794,30
blind_iterations,5,11,54,58,15911.19465911,10
blind_iterations,5,12,55,59,15217.97444555,25
blind_iterations,5,13,56,60,15662.03719002,20
blind_iterations,5,14,57,61,15134.61269338,30
blind_iterations,5,15,58,62,15265.46700419,10
blind_iterations,5,16,59,63,15319.20127490,15
blind_iterations,5,17,60,64,15363.43944484,25
blind_iterations,5,18,61,65,15331.49117102,25
blind_iterations,5,19,62,66,15023.35550177,30
blind_iterations,8,0,43,47,14561.13362450,48
blind_iterations,8,1,44,48,15673.23664838,32
blind_iterations,8,2,45,49,15733.78001763,32
blind_iterations,8,3,46,50,16687.15961314,24
blind_iterations,8,4,47,51,16124.17915505,24
blind_iterations,8,5,48,52,14831.10255567,32
blind_iterations,8,6,49,53,15785.23240355,32
blind_iterations,8,7,50,54,15779.08016532,24
blind_iterations,8,8,51,55,16276.13098804,24
blind_iterations,8,9,52,56,15755.86426605,56
blind_iterations,8,10,53,57,15501.27674794,48
blind_iterations,8,11,54,58,15917.51654648,24
blind_iterations,8,12,55,59,15136.50535934,24
blind_iterations,8,13,56,60,15662.03719002,32
blind_iterations,8,14,57,61,15134.61269338,48
